CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx/metal_disc_turn.wav
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx/metal_disc_turn.wav
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=DA64C25D	STR_LEN=19	STR_OUT=metal_disc_turn.wav
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx/metal_disc_turn.wav
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx/metal_disc_turn.wav
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx/metal_disc_turn.wav
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx/metal_disc_turn.wav
CRC_HASH=DA64C25D	STR_LEN=19	STR_OUT=metal_disc_turn.wav
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=F88EC384	STR_LEN=5	STR_OUT=sound
CRC_HASH=F88EC384	STR_LEN=5	STR_OUT=sound
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=180718DF	STR_LEN=6	STR_OUT=reverb
CRC_HASH=F143BFAD	STR_LEN=7	STR_OUT=variant
CRC_HASH=F143BFAD	STR_LEN=7	STR_OUT=variant
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=41405E39	STR_LEN=7	STR_OUT=element
CRC_HASH=BC419E6E	STR_LEN=7	STR_OUT=surface
